Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003849
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003857
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003866
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003881
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003889
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003898
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003914
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003930
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003939
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003947
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003957
End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003966
End: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003981
End: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.003996
Start: N=5, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.004010
Start: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=5, Cur_Time=0.004025
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.004048
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.004065
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.004082
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.004115
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.004124
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.004133
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.004142
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.004157
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.004165
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.004173
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.004188
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004202
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004210
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004219
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004227
End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.004236
End: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=5, Cur_Time=0.004250
Start: N=3, Current_CPU=0, Previous_CPU=00000, Pre_N=5, Cur_Time=0.004263
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=3, Cur_Time=0.004278
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004294
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004302
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004311
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.004319
